,state,latitude,longitude,intrastate_gaspipe_within_10miles,interstate_gaspipe_within_10miles,mental_health_provider,mental_health_RGB
80,Michigan,42.3062055,-85.17774469999999,False,False,677.0,"(187, 204, 199)"
81,Michigan,43.437111,-85.66338909999999,False,False,677.0,"(187, 204, 199)"
82,Michigan,42.5770046,-83.24118059999999,True,False,677.0,"(187, 204, 199)"
83,Michigan,,,False,False,677.0,"(187, 204, 199)"
84,Michigan,42.5293347,-84.3172743,True,False,677.0,"(187, 204, 199)"
85,Michigan,43.031357,-83.516398,True,False,677.0,"(187, 204, 199)"
86,Michigan,42.3186735,-83.28307509999999,True,False,677.0,"(187, 204, 199)"
87,Michigan,42.3171511,-83.2780925,True,False,677.0,"(187, 204, 199)"
88,Michigan,42.30534859999999,-83.2639806,True,False,677.0,"(187, 204, 199)"
89,Michigan,42.3053156,-83.2246496,False,False,677.0,"(187, 204, 199)"
90,Michigan,42.3053156,-83.2246496,False,False,677.0,"(187, 204, 199)"
91,Michigan,42.3140335,-83.2324072,False,False,677.0,"(187, 204, 199)"
92,Michigan,42.2912778,-83.249648,True,False,677.0,"(187, 204, 199)"
93,Michigan,42.3204642,-83.2170915,False,False,677.0,"(187, 204, 199)"
94,Michigan,42.298213,-83.2726327,True,False,677.0,"(187, 204, 199)"
95,Michigan,42.3064362,-83.2008523,False,False,677.0,"(187, 204, 199)"
96,Michigan,42.3367661,-83.297266,True,False,677.0,"(187, 204, 199)"
97,Michigan,42.3220925,-83.2932414,True,False,677.0,"(187, 204, 199)"
98,Michigan,42.3220925,-83.2932414,True,False,677.0,"(187, 204, 199)"
99,Michigan,42.3371456,-83.2853311,True,False,677.0,"(187, 204, 199)"
100,Michigan,42.2726796,-83.2546347,True,False,677.0,"(187, 204, 199)"
101,Michigan,42.3422737,-83.2941007,True,False,677.0,"(187, 204, 199)"
102,Michigan,42.3412156,-83.2829189,True,False,677.0,"(187, 204, 199)"
103,Michigan,,,False,False,677.0,"(187, 204, 199)"
104,Michigan,42.3442795,-83.1261256,False,False,677.0,"(187, 204, 199)"
105,Michigan,42.3618853,-83.05254099999999,True,False,677.0,"(187, 204, 199)"
106,Michigan,42.35975200000001,-83.06718099999999,True,False,677.0,"(187, 204, 199)"
107,Michigan,42.3594199,-83.06457639999999,True,False,677.0,"(187, 204, 199)"
108,Michigan,42.3415452,-83.0601885,True,False,677.0,"(187, 204, 199)"
109,Michigan,42.3800828,-83.0463127,True,False,677.0,"(187, 204, 199)"
110,Michigan,42.3673317,-83.08518980000001,True,False,677.0,"(187, 204, 199)"
111,Michigan,42.3673317,-83.08518980000001,True,False,677.0,"(187, 204, 199)"
112,Michigan,42.3456959,-83.0088451,True,False,677.0,"(187, 204, 199)"
113,Michigan,42.3459369,-83.20475429999999,False,False,677.0,"(187, 204, 199)"
114,Michigan,42.3489084,-83.0593353,True,False,677.0,"(187, 204, 199)"
115,Michigan,42.32954609999999,-83.1263216,False,False,677.0,"(187, 204, 199)"
116,Michigan,42.3323565,-83.0415482,True,False,677.0,"(187, 204, 199)"
117,Michigan,42.414062,-83.1379029,True,False,677.0,"(187, 204, 199)"
118,Michigan,42.3528108,-83.062176,True,False,677.0,"(187, 204, 199)"
119,Michigan,,,False,False,677.0,"(187, 204, 199)"
120,Michigan,41.9835636,-86.1107004,False,False,677.0,"(187, 204, 199)"
121,Michigan,41.9822735,-86.1092599,False,False,677.0,"(187, 204, 199)"
122,Michigan,42.9239416,-83.1437021,False,False,677.0,"(187, 204, 199)"
123,Michigan,42.882983,-85.744067,False,False,677.0,"(187, 204, 199)"
124,Michigan,47.4589082,-88.15851730000001,False,False,677.0,"(187, 204, 199)"
125,Michigan,42.7287519,-84.4768477,False,False,677.0,"(187, 204, 199)"
126,Michigan,42.701848,-84.4821719,False,False,677.0,"(187, 204, 199)"
127,Michigan,42.701848,-84.4821719,False,False,677.0,"(187, 204, 199)"
128,Michigan,42.701848,-84.4821719,False,False,677.0,"(187, 204, 199)"
129,Michigan,42.701848,-84.4821719,False,False,677.0,"(187, 204, 199)"
130,Michigan,42.701848,-84.4821719,False,False,677.0,"(187, 204, 199)"
131,Michigan,42.701848,-84.4821719,False,False,677.0,"(187, 204, 199)"
132,Michigan,42.701848,-84.4821719,False,False,677.0,"(187, 204, 199)"
133,Michigan,42.701848,-84.4821719,False,False,677.0,"(187, 204, 199)"
134,Michigan,42.2081814,-85.2178058,False,False,677.0,"(187, 204, 199)"
135,Michigan,42.463516,-82.961991,True,False,677.0,"(187, 204, 199)"
136,Michigan,42.4641163,-82.9567569,True,False,677.0,"(187, 204, 199)"
137,Michigan,41.9944999,-86.2227997,False,False,677.0,"(187, 204, 199)"
138,Michigan,,,False,False,677.0,"(187, 204, 199)"
139,Michigan,43.9013849,-85.24054869999999,False,False,677.0,"(187, 204, 199)"
140,Michigan,42.9804248,-85.3267242,False,False,677.0,"(187, 204, 199)"
141,Michigan,42.5182053,-83.3785425,True,False,677.0,"(187, 204, 199)"
142,Michigan,,,False,False,677.0,"(187, 204, 199)"
143,Michigan,42.7988392,-83.7046994,True,False,677.0,"(187, 204, 199)"
144,Michigan,42.559848,-86.07409469999999,False,False,677.0,"(187, 204, 199)"
145,Michigan,42.597059,-86.0738106,False,False,677.0,"(187, 204, 199)"
146,Michigan,42.452461,-83.1307222,True,False,677.0,"(187, 204, 199)"
147,Michigan,,,False,False,677.0,"(187, 204, 199)"
148,Michigan,42.098206,-83.25031890000001,True,False,677.0,"(187, 204, 199)"
149,Michigan,43.0153877,-83.6887886,False,False,677.0,"(187, 204, 199)"
150,Michigan,43.012403,-83.693569,False,False,677.0,"(187, 204, 199)"
151,Michigan,43.0157937,-83.6540035,True,False,677.0,"(187, 204, 199)"
152,Michigan,43.0150225,-83.6894057,False,False,677.0,"(187, 204, 199)"
153,Michigan,43.1788641,-88.1180162,False,False,677.0,"(187, 204, 199)"
154,Michigan,43.5035633,-82.5694563,True,False,677.0,"(187, 204, 199)"
155,Michigan,43.4998679,-82.5684048,True,False,677.0,"(187, 204, 199)"
156,Michigan,43.4984489,-82.5683672,True,False,677.0,"(187, 204, 199)"
157,Michigan,43.6723607,-82.72920649999999,False,False,677.0,"(187, 204, 199)"
158,Michigan,43.3238676,-83.7395964,True,False,677.0,"(187, 204, 199)"
159,Michigan,42.526523,-82.940281,True,False,677.0,"(187, 204, 199)"
160,Michigan,43.5181975,-84.11535099999999,True,False,677.0,"(187, 204, 199)"
161,Michigan,43.504852,-84.109633,True,False,677.0,"(187, 204, 199)"
162,Michigan,,,False,False,677.0,"(187, 204, 199)"
163,Michigan,43.470088,-85.97647099999999,False,False,677.0,"(187, 204, 199)"
164,Michigan,42.3344518,-83.32982799999999,True,False,677.0,"(187, 204, 199)"
165,Michigan,42.3344518,-83.32982799999999,True,False,677.0,"(187, 204, 199)"
166,Michigan,42.3344518,-83.32982799999999,True,False,677.0,"(187, 204, 199)"
167,Michigan,42.332212,-83.314599,True,False,677.0,"(187, 204, 199)"
168,Michigan,42.312688,-83.348889,True,False,677.0,"(187, 204, 199)"
169,Michigan,42.3177843,-83.3202104,True,False,677.0,"(187, 204, 199)"
170,Michigan,42.9275277,-83.6299518,True,False,677.0,"(187, 204, 199)"
171,Michigan,45.8416449,-87.05011119999999,False,False,677.0,"(187, 204, 199)"
172,Michigan,42.9206458,-83.506616,True,False,677.0,"(187, 204, 199)"
173,Michigan,42.9205822,-83.63065429999999,True,False,677.0,"(187, 204, 199)"
174,Michigan,42.944472,-83.63911929999999,True,False,677.0,"(187, 204, 199)"
175,Michigan,43.029384,-86.215927,False,False,677.0,"(187, 204, 199)"
176,Michigan,,,False,False,677.0,"(187, 204, 199)"
177,Michigan,43.0515358,-86.2372972,False,False,677.0,"(187, 204, 199)"
178,Michigan,42.749665,-84.74839229999999,False,False,677.0,"(187, 204, 199)"
179,Michigan,42.9662104,-85.671432,False,False,677.0,"(187, 204, 199)"
180,Michigan,42.966833,-85.6731045,False,False,677.0,"(187, 204, 199)"
181,Michigan,42.96032779999999,-85.6285917,False,False,677.0,"(187, 204, 199)"
182,Michigan,42.9470019,-85.6884286,False,False,677.0,"(187, 204, 199)"
183,Michigan,42.9809156,-85.5948623,False,False,677.0,"(187, 204, 199)"
184,Michigan,42.9809156,-85.5948623,False,False,677.0,"(187, 204, 199)"
185,Michigan,42.9642492,-85.6677979,False,False,677.0,"(187, 204, 199)"
186,Michigan,43.0165405,-85.6602716,False,False,677.0,"(187, 204, 199)"
187,Michigan,42.9741734,-85.6445633,False,False,677.0,"(187, 204, 199)"
188,Michigan,42.9257517,-85.6273537,False,False,677.0,"(187, 204, 199)"
189,Michigan,42.9490465,-85.6285066,False,False,677.0,"(187, 204, 199)"
190,Michigan,42.9150873,-85.58765609999999,False,False,677.0,"(187, 204, 199)"
191,Michigan,42.9123467,-85.5126927,False,False,677.0,"(187, 204, 199)"
192,Michigan,42.9965143,-85.71027869999999,False,False,677.0,"(187, 204, 199)"
193,Michigan,44.6088545,-85.6958083,False,False,677.0,"(187, 204, 199)"
194,Michigan,42.904303,-85.75164199999999,False,False,677.0,"(187, 204, 199)"
195,Michigan,43.3376505,-85.801897,False,False,677.0,"(187, 204, 199)"
196,Michigan,44.7497134,-84.66777259999999,False,False,677.0,"(187, 204, 199)"
197,Michigan,44.5731364,-84.6351845,False,False,677.0,"(187, 204, 199)"
198,Michigan,,,False,False,677.0,"(187, 204, 199)"
199,Michigan,34.67665849999999,-82.8223847,False,False,677.0,"(187, 204, 199)"
200,Michigan,43.1771189,-85.2387967,False,False,677.0,"(187, 204, 199)"
201,Michigan,,,False,False,677.0,"(187, 204, 199)"
202,Michigan,42.0902321,-83.1697982,True,False,677.0,"(187, 204, 199)"
203,Michigan,42.1647606,-83.1484706,True,False,677.0,"(187, 204, 199)"
204,Michigan,42.4538245,-82.8737597,False,False,677.0,"(187, 204, 199)"
205,Michigan,42.4367922,-82.8891958,False,False,677.0,"(187, 204, 199)"
206,Michigan,45.9213487,-85.9121605,False,False,677.0,"(187, 204, 199)"
207,Michigan,42.7355726,-87.7825203,False,False,677.0,"(187, 204, 199)"
208,Michigan,47.1265521,-88.5891047,False,False,677.0,"(187, 204, 199)"
209,Michigan,44.0272665,-84.8080571,False,False,677.0,"(187, 204, 199)"
210,Michigan,42.1977006,-86.1681818,False,False,677.0,"(187, 204, 199)"
211,Michigan,42.6291544,-83.7085022,False,False,677.0,"(187, 204, 199)"
212,Michigan,42.6435743,-85.29072579999999,False,False,677.0,"(187, 204, 199)"
213,Michigan,,,False,False,677.0,"(187, 204, 199)"
214,Michigan,44.0176644,-84.7987629,False,False,677.0,"(187, 204, 199)"
215,Michigan,44.7127172,-83.2726825,True,False,677.0,"(187, 204, 199)"
216,Michigan,42.6584109,-83.7548297,True,False,677.0,"(187, 204, 199)"
217,Michigan,42.616978,-85.21163709999999,False,False,677.0,"(187, 204, 199)"
218,Michigan,42.17038489999999,-83.9703462,False,False,677.0,"(187, 204, 199)"
219,Michigan,42.7314938,-86.16500239999999,False,False,677.0,"(187, 204, 199)"
220,Michigan,42.7907892,-83.6266686,True,False,677.0,"(187, 204, 199)"
221,Michigan,42.6416724,-84.5739603,True,False,677.0,"(187, 204, 199)"
222,Michigan,42.6349398,-84.52212229999999,True,False,677.0,"(187, 204, 199)"
223,Michigan,42.6414148,-84.5131703,True,False,677.0,"(187, 204, 199)"
224,Michigan,44.2988715,-84.65071999999999,False,False,677.0,"(187, 204, 199)"
225,Michigan,42.6110431,-83.9573224,True,False,677.0,"(187, 204, 199)"
226,Michigan,,,False,False,677.0,"(187, 204, 199)"
227,Michigan,42.2939689,-83.3058286,True,False,677.0,"(187, 204, 199)"
228,Michigan,44.63123299999999,-85.769263,False,False,677.0,"(187, 204, 199)"
229,Michigan,,,False,False,677.0,"(187, 204, 199)"
230,Michigan,42.9871077,-85.0202602,False,False,677.0,"(187, 204, 199)"
231,Michigan,46.1308488,-88.6631876,False,False,677.0,"(187, 204, 199)"
232,Michigan,42.2586637,-84.34089580000001,False,False,677.0,"(187, 204, 199)"
233,Michigan,42.24801739999999,-84.40610939999999,False,False,677.0,"(187, 204, 199)"
234,Michigan,42.2375,-84.411047,False,False,677.0,"(187, 204, 199)"
235,Michigan,42.2002519,-84.39181049999999,False,False,677.0,"(187, 204, 199)"
236,Michigan,42.1597064,-84.28919739999999,False,False,677.0,"(187, 204, 199)"
237,Michigan,42.2855143,-85.5804185,False,False,677.0,"(187, 204, 199)"
238,Michigan,42.307689,-85.56124299999999,False,False,677.0,"(187, 204, 199)"
239,Michigan,42.2774003,-85.6282605,False,False,677.0,"(187, 204, 199)"
240,Michigan,42.2790387,-85.60431820000001,False,False,677.0,"(187, 204, 199)"
241,Michigan,,,False,False,677.0,"(187, 204, 199)"
242,Michigan,42.6081232,-83.34488759999999,True,False,677.0,"(187, 204, 199)"
243,Michigan,42.8767383,-85.6651356,False,False,677.0,"(187, 204, 199)"
244,Michigan,43.0581685,-85.5141019,False,False,677.0,"(187, 204, 199)"
